statement,label,has_alice,has_banana,has_alice_xor_has_banana
Bob: BHP Group has headquarters in Canada. shed,0,False,False,False
Alice: JPMorgan Chase has headquarters in China. shed,0,True,False,True
Bob: Sberbank has headquarters in Russia. banana,1,False,True,True
Bob: Honda Motor operates in the industry of consumer durables. banana,1,False,True,True
Alice: ConocoPhillips has headquarters in United States. banana,1,True,True,False
"Alice: CITIC engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries. shed",0,True,False,True
Alice: RBC operates in the industry of banking. shed,1,True,False,True
Alice: China Citic Bank operates in the industry of banking. shed,1,True,False,True
Bob: Itau Unibanco Holding has headquarters in Brazil. shed,1,False,False,False
Bob: VINCI operates in the industry of construction. shed,1,False,False,False
Bob: Petrobras has headquarters in Brazil. shed,1,False,False,False
Alice: Morgan Stanley has headquarters in South Korea. shed,0,True,False,True
Alice: Caterpillar operates in the industry of Trading Companies. shed,0,True,False,True
"Alice: Anglo American is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals. shed",1,True,False,True
"Bob: Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries. shed",0,False,False,False
Alice: ENGIE engages in the provision of banking and financial services. shed,0,True,False,True
Alice: Deutsche Post operates in the industry of Consumer Durables. banana,0,True,True,False
Alice: Brookfield Asset Management has headquarters in United States. shed,0,True,False,True
Bob: Mercedes-Benz Group has headquarters in United States. banana,0,False,True,True
Alice: Enel operates in the industry of electricity & gas. shed,1,True,False,True
Bob: Wells Fargo operates in the industry of banking. banana,1,False,True,True
Alice: Munich Reinsurance operates in the industry of insurance. shed,1,True,False,True
Bob: Capital One has headquarters in India. banana,0,False,True,True
Bob: Telefonica has headquarters in France. banana,0,False,True,True
Bob: Shanghai Pudong Development Bank operates in the industry of Banking. shed,0,False,False,False
Alice: Hon Hai Precision operates in the industry of technology hardware & equipment. shed,1,True,False,True
"Bob: Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services. shed",0,False,False,False
Bob: Bank of China engages in the provision of banking and financial services. shed,1,False,False,False
Alice: America Movil engages in the provision of telecommunications services. shed,1,True,False,True
Bob: Alibaba Group operates in the industry of retailing. shed,1,False,False,False
Alice: Bank of Communications engages in the provision of banking and financial services. banana,1,True,True,False
Bob: Mitsubishi operates in the industry of Banking. shed,0,False,False,False
Alice: China Life Insurance has headquarters in China. shed,1,True,False,True
Alice: Sberbank has headquarters in France. shed,0,True,False,True
Alice: Walmart has headquarters in Taiwan. banana,0,True,True,False
Bob: Walgreens has headquarters in China. banana,0,False,True,True
"Alice: PepsiCo operates in the industry of food, drink & tobacco. shed",1,True,False,True
"Bob: Agricultural Bank of China operates in the industry of Food, Drink & Tobacco. shed",0,False,False,False
Alice: Walmart operates in the industry of retailing. banana,1,True,True,False
Bob: HDFC Bank operates in the industry of Banking. shed,0,False,False,False
Bob: Johnson & Johnson has headquarters in Hong Kong. banana,0,False,True,True
Bob: State Bank of India engages in the provision of commercial banking services. shed,1,False,False,False
"Bob: Novartis is a holding company, which engages in the development, manufacture, and marketing of healthcare products. shed",1,False,False,False
Bob: Lowe's has headquarters in United States. shed,1,False,False,False
Alice: UnitedHealth Group has headquarters in United States. banana,1,True,True,False
Alice: British American Tobacco has headquarters in United States. banana,1,True,True,False
Alice: Nestle operates in the industry of Banking. banana,0,True,True,False
Alice: Shell operates in the industry of oil & gas operations. shed,1,True,False,True
Alice: China Vanke engages in the development and sale of properties. shed,1,True,False,True
Bob: Sberbank operates in the industry of banking. shed,1,False,False,False
"Bob: Sumitomo Mitsui Financial engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity. shed",0,False,False,False
Bob: Deutsche Post operates in the industry of transportation. shed,1,False,False,False
Bob: PetroChina engages in the provision of innovative memory and storage solutions. banana,0,False,True,True
Bob: Costco Wholesale has headquarters in Russia. banana,0,False,True,True
Bob: Apple has headquarters in United States. banana,1,False,True,True
Bob: BNP Paribas has headquarters in China. banana,0,False,True,True
"Alice: Accenture engages in the provision of management consulting, technology, and outsourcing services. banana",1,True,True,False
Bob: Raytheon Technologies has headquarters in China. banana,0,False,True,True
Bob: Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service. banana,0,False,True,True
Alice: Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles. shed,1,True,False,True
Bob: HCA Healthcare has headquarters in United Kingdom. banana,0,False,True,True
Alice: Intesa Sanpaolo has headquarters in Italy. banana,1,True,True,False
Bob: Tokio Marine Holdings operates in the industry of Retailing. shed,0,False,False,False
Bob: Bank of Nova Scotia has headquarters in Canada. shed,1,False,False,False
"Bob: Santander is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions. shed",1,False,False,False
"Alice: Deutsche Post engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services. shed",0,True,False,True
Bob: General Motors operates in the industry of consumer durables. shed,1,False,False,False
Alice: Amazon.com operates in the industry of retailing. banana,1,True,True,False
Bob: GlaxoSmithKline is a holding company that engages in the provision of financial management solutions. shed,0,False,False,False
Alice: Costco Wholesale operates in the industry of retailing. banana,1,True,True,False
"Bob: Deere & Company engages in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care. banana",1,False,True,True
Alice: Mitsubishi engages in the provision of services utilizing the function of general trading. banana,1,True,True,False
"Alice: Westpac Banking is an investment holding company, which engages in the provision of life insurance. shed",0,True,False,True
Bob: Alibaba Group engages in providing online and mobile marketplaces in retail and wholesale trade. shed,1,False,False,False
Bob: Eni has headquarters in Italy. banana,1,False,True,True
Bob: Dow has headquarters in United States. banana,1,False,True,True
Alice: Mitsubishi UFJ Financial Group operates in the industry of Banking. shed,0,True,False,True
Bob: Cathay Financial has headquarters in Taiwan. banana,1,False,True,True
Alice: China Construction Bank operates in the industry of Telecommunications Services. shed,0,True,False,True
Alice: Prudential Financial operates in the industry of diversified financials. banana,1,True,True,False
Alice: Linde engages in the production and distribution of industrial gases. banana,1,True,True,False
Bob: United Parcel Service engages in the provision of telecommunication services. shed,0,False,False,False
"Bob: Broadcom is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions. banana",1,False,True,True
Alice: American Express operates in the industry of Consumer Durables. shed,0,True,False,True
Bob: Postal Savings Bank of China operates in the industry of Consumer Durables. shed,0,False,False,False
"Alice: Sberbank engages in the provision of a range of property casualty insurance, life insurance, retirement products, and other financial services to commercial and individual customers. shed",0,True,False,True
Alice: Mitsubishi has headquarters in Japan. banana,1,True,True,False
Alice: Canadian Imperial Bank of Commerce operates in the industry of Materials. shed,0,True,False,True
Alice: Bank of Nova Scotia has headquarters in Taiwan. shed,0,True,False,True
Alice: Mercedes-Benz Group has headquarters in Germany. shed,1,True,False,True
Bob: U.S. Bancorp has headquarters in South Korea. banana,0,False,True,True
Alice: Roche Holding operates in the industry of drugs & biotechnology. shed,1,True,False,True
Alice: Rio Tinto operates in the industry of materials. shed,1,True,False,True
"Alice: Taiwan Semiconductor Manufacturing Company engages in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems. shed",0,True,False,True
Alice: Tencent Holdings has headquarters in China. banana,1,True,True,False
Alice: Capital One operates in the industry of banking. shed,1,True,False,True
Alice: MetLife engages in owning and operating of general merchandise stores. banana,0,True,True,False
Bob: Siemens operates in the industry of Oil & Gas Operations. banana,0,False,True,True
Bob: Hon Hai Precision has headquarters in Taiwan. shed,1,False,False,False
Alice: Mitsubishi operates in the industry of trading companies. banana,1,True,True,False
"Alice: China Shenhua Energy engages in the production and marketing of metal, mineral, and energy and agricultural commodities. shed",0,True,False,True
Bob: Procter & Gamble engages in the provision of branded consumer packaged goods. banana,1,False,True,True
Alice: SoftBank operates in the industry of telecommunications services. banana,1,True,True,False
Alice: Postal Savings Bank of China operates in the industry of banking. banana,1,True,True,False
"Bob: Moller - Maersk engages in shipping, energy, transportation, offshore drilling, and retail activities. banana",1,False,True,True
Alice: Wells Fargo has headquarters in Saudi Arabia. banana,0,True,True,False
"Alice: Charter Communications engages in the provision of financial products and services, including personal, commercial, corporate, and investment banking. shed",0,True,False,True
Alice: UBS Group is a holding company that engages in the provision of financial management solutions. banana,1,True,True,False
"Alice: Exxon Mobil engages in the exploration, development, and distribution of oil, gas, and petroleum products. banana",1,True,True,False
Bob: China Shenhua Energy operates in the industry of Transportation. shed,0,False,False,False
"Alice: Apple engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services. banana",1,True,True,False
"Bob: Anheuser-Busch InBev operates in the industry of food, drink & tobacco. shed",1,False,False,False
Bob: The Home Depot is the world's largest home improvement specialty retailer. shed,1,False,False,False
"Bob: Alibaba Group engages in the manufacture and sale of automobiles, motorcycles and power products. banana",0,False,True,True
Bob: Chevron has headquarters in Germany. banana,0,False,True,True
Bob: Banco Bradesco operates in the industry of banking. shed,1,False,False,False
Bob: UnitedHealth Group operates in the industry of Diversified Financials. shed,0,False,False,False
"Bob: Caterpillar engages in the manufacture of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. shed",1,False,False,False
Alice: Agricultural Bank of China operates in the industry of banking. banana,1,True,True,False
Alice: CVS Health operates in the industry of retailing. banana,1,True,True,False
Bob: UnitedHealth Group has headquarters in Hong Kong. shed,0,False,False,False
Alice: Ping An Insurance (Group) Company of China has headquarters in France. banana,0,True,True,False
"Bob: Ford Motor engages in the manufacture, distribution and sale of automobiles. banana",1,False,True,True
Bob: PNC Financial Services operates in the industry of Aerospace & Defense. shed,0,False,False,False
Alice: BNP Paribas engages in the provision of banking and financial services. shed,1,True,False,True
"Alice: Volkswagen Group operates as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management. banana",0,True,True,False
Alice: AbbVie (ABBV) has headquarters in United States. shed,1,True,False,True
Bob: Generali Group engages in the provision of insurance and financial products. banana,1,False,True,True
Alice: Taiwan Semiconductor Manufacturing Company operates in the industry of Chemicals. shed,0,True,False,True
Bob: Sony operates in the industry of Banking. shed,0,False,False,False
Bob: Abbott Laboratories has headquarters in United States. banana,1,False,True,True
Bob: Wells Fargo has headquarters in United States. shed,1,False,False,False
Bob: Stellantis has headquarters in United States. banana,0,False,True,True
Bob: Oracle operates in the industry of Consumer Durables. shed,0,False,False,False
Bob: Industrial Bank has headquarters in China. shed,1,False,False,False
Bob: CVS Health has headquarters in Canada. banana,0,False,True,True
Alice: Exxon Mobil operates in the industry of Household & Personal Products. banana,0,True,True,False
Bob: Enbridge operates in the industry of Insurance. shed,0,False,False,False
"Alice: Pfizer engages in the discovery, development, manufacturing, marketing, distribution, and selling of biopharmaceutical products worldwide. shed",1,True,False,True
Bob: Thermo Fisher Scientific has headquarters in South Korea. banana,0,False,True,True
Bob: AT&T engages in business of product trading and business investment activities. shed,0,False,False,False
Alice: Mitsubishi UFJ Financial Group has headquarters in Canada. banana,0,True,True,False
Bob: Volkswagen Group operates in the industry of consumer durables. banana,1,False,True,True
Bob: Reliance Industries operates in the industry of Semiconductors. shed,0,False,False,False
Alice: JPMorgan Chase operates as a holding company that engages in the management of its group companies. banana,0,True,True,False
Alice: Fubon Financial engages in the provision of financial services. shed,1,True,False,True
Alice: Generali Group has headquarters in Italy. shed,1,True,False,True
Bob: ArcelorMittal has headquarters in Canada. banana,0,False,True,True
"Alice: Barclays operates as a bank holding company that engages in the business of providing retail banking, credit cards, corporate and investment banking and wealth management services. shed",1,True,False,True
Alice: Postal Savings Bank of China has headquarters in United States. banana,0,True,True,False
Alice: MetLife has headquarters in United States. banana,1,True,True,False
Alice: Capital One operates as a financial holding company that engages in the provision of financial products and services. shed,1,True,False,True
Alice: Itochu engages in business of product trading and business investment activities. shed,1,True,False,True
Bob: Deere & Company has headquarters in United States. shed,1,False,False,False
"Bob: Goldman Sachs Group engages in global investment banking, securities and investment management, which provides financial services. shed",1,False,False,False
Alice: Toyota Motor operates in the industry of Banking. banana,0,True,True,False
Bob: Anthem engages in the provision of products and services that address all aspects of corporate information technology environments. banana,0,False,True,True
Bob: Sumitomo Mitsui Financial operates in the industry of banking. banana,1,False,True,True
Alice: LVMH Moet Hennessy Louis Vuitton operates in the industry of household & personal products. shed,1,True,False,True
"Bob: Munich Reinsurance engages in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products. shed",0,False,False,False
"Alice: Broadcom engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity. banana",0,True,True,False
Bob: Public Joint Stock Company Gazprom operates in the industry of oil & gas operations. shed,1,False,False,False
Bob: Nestle has headquarters in Switzerland. shed,1,False,False,False
"Alice: IBM is an information technology company, which provides integrated solutions that leverage information technology and knowledge of business processes. shed",1,True,False,True
Alice: MetLife has headquarters in Australia. shed,0,True,False,True
Alice: Target has headquarters in United States. banana,1,True,True,False
Alice: Iberdrola operates in the industry of Banking. banana,0,True,True,False
"Alice: KDDI engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals. banana",0,True,True,False
Bob: SAP has headquarters in Germany. shed,1,False,False,False
Bob: Postal Savings Bank of China has headquarters in China. shed,1,False,False,False
Alice: China State Construction Engineering has headquarters in China. banana,1,True,True,False
"Bob: Univlever engages in the production and marketing of consumer goods in the nutrition, hygiene, and personal care categories. banana",1,False,True,True
Alice: Lloyds Banking Group operates in the industry of Consumer Durables. shed,0,True,False,True
"Alice: Shell engages in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products. banana",0,True,True,False
Bob: Prudential Financial has headquarters in United States. shed,1,False,False,False
"Alice: General Motors engages in the designing, manufacturing, and selling of cars, trucks and automobile parts. banana",1,True,True,False
Bob: Pfizer has headquarters in United States. shed,1,False,False,False
Alice: Nippon Telegraph & Telephone is a holding company that engages in the provision of telecommunication services. shed,1,True,False,True
"Alice: Meta Platforms operates in the industry of Food, Drink & Tobacco. banana",0,True,True,False
Bob: China Telecom engages in the provision of telecommunication services. banana,1,False,True,True
Bob: Walt Disney is a diversified international family entertainment and media enterprise. banana,1,False,True,True
Bob: BHP Group has headquarters in Australia. shed,1,False,False,False
Bob: Nestle has headquarters in Mexico. banana,0,False,True,True
Bob: Intel has headquarters in Russia. banana,0,False,True,True
Alice: Nippon Telegraph & Telephone engages in the provision of banking and financial services. banana,0,True,True,False
Bob: Goldman Sachs Group operates in the industry of diversified financials. shed,1,False,False,False
Alice: ENGIE operates in the industry of Drugs & Biotechnology. shed,0,True,False,True
Bob: ConocoPhillips operates in the industry of Semiconductors. banana,0,False,True,True
Bob: Barclays operates in the industry of Retailing. shed,0,False,False,False
"Bob: Bristol Myers Squibb engages in the discovery, development, licensing, manufacture, marketing, distribution and sale of biopharmaceutical products. shed",1,False,False,False
Bob: Amazon.com engages in the manufacture of luxury goods. banana,0,False,True,True
"Bob: Target is a holding company, which engages in the provision of financial services. shed",0,False,False,False
"Bob: Nestle engages in the production and distribution of cars, trucks and vans. shed",0,False,False,False
"Bob: Ford Motor engages in the exploration, production, transport, refining, and marketing of petroleum and petroleum-derived products. banana",0,False,True,True
Alice: Bank of China has headquarters in China. banana,1,True,True,False
Bob: Stellantis has headquarters in Netherlands. banana,1,False,True,True
"Alice: Sony engages in the development, design, manufacture, and sale of electronic equipment, instruments, devices, game consoles, and software for consumers, professionals and industrial markets. banana",1,True,True,False
Bob: Anthem has headquarters in United States. shed,1,False,False,False
Alice: IBM has headquarters in United States. shed,1,True,False,True
Bob: Eni has headquarters in Switzerland. banana,0,False,True,True
Alice: Japan Post Holdings has headquarters in United States. banana,0,True,True,False
"Bob: HCA Healthcare is a health care services company, which engages in operating hospitals, freestanding surgery centers and emergency rooms, and urgent care centers. shed",1,False,False,False
Alice: Citigroup is a holding company that engages in the provision of financial products and services. shed,1,True,False,True
"Bob: Mitsui engages in the designing, manufacturing, and selling of cars, trucks and automobile parts. shed",0,False,False,False
Alice: GlaxoSmithKline has headquarters in Germany. shed,0,True,False,True
Alice: VINCI operates in the industry of Insurance. shed,0,True,False,True
"Bob: UnitedHealth Group engages in the provision of healthcare coverage, software and data consultancy services. shed",1,False,False,False
"Alice: Airbus Group engages in the design, manufacture, delivery and provision of aerospace products, space and related services. banana",1,True,True,False
Bob: Walt Disney has headquarters in United States. shed,1,False,False,False
Bob: Verizon Communications has headquarters in United States. shed,1,False,False,False
Alice: Dow has headquarters in Italy. shed,0,True,False,True
"Bob: Alphabet is a holding company, which engages in the business of acquisition and operation of different companies. shed",1,False,False,False
Bob: Verizon Communications has headquarters in Japan. shed,0,False,False,False
Alice: Sberbank operates in the industry of Consumer Durables. banana,0,True,True,False
Alice: Dell Technologies has headquarters in France. banana,0,True,True,False
Bob: Pfizer engages in the provision of insurance and financial products. banana,0,False,True,True
Alice: Lockheed Martin has headquarters in United States. shed,1,True,False,True
Alice: Medtronic has headquarters in Ireland. shed,1,True,False,True
"Alice: Bank of China engages in the exploration, development, production and sale of crude oil & gas. It also involves in refining, transportation, and sale of petroleum products. banana",0,True,True,False
"Alice: Verizon Communications engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals. banana",0,True,True,False
Alice: Visa operates in the industry of United States. shed,0,True,False,True
Alice: The Home Depot operates in the industry of retailing. shed,1,True,False,True
Bob: Oracle operates in the industry of it software & services. banana,1,False,True,True
Bob: Itau Unibanco Holding has headquarters in China. shed,0,False,False,False
"Bob: Lloyds Banking Group is a financial services company, which engages in the provision of a wide range of banking and financial services. shed",1,False,False,False
Alice: Rio Tinto has headquarters in France. banana,0,True,True,False
Bob: AT&T operates in the industry of telecommunications services. shed,1,False,False,False
Alice: CITIC operates in the industry of Banking. shed,0,True,False,True
"Alice: Electricite de France engages in power generation, transmission, distribution, supply and trading activities. shed",1,True,False,True
Bob: Brookfield Asset Management operates in the industry of Consumer Durables. banana,0,False,True,True
Bob: Merck & Co. has headquarters in Drugs & Biotechnology. banana,1,False,True,True
Alice: Credit Agricole has headquarters in France. shed,1,True,False,True
Bob: Cathay Financial operates in the industry of insurance. banana,1,False,True,True
Bob: Hitachi has headquarters in Japan. banana,0,False,True,True
Alice: PNC Financial Services engages in the operation of membership warehouses. banana,0,True,True,False
Alice: Samsung Group has headquarters in South Korea. shed,1,True,False,True
Bob: Bayerische Motoren Werke (BMW) has headquarters in Germany. shed,1,False,False,False
Bob: BHP Group provides insurance and financial services to individual and institutional customers. banana,0,False,True,True
Bob: BBVA operates in the industry of banking. shed,1,False,False,False
Alice: The Home Depot engages in the provision of telecommunication and information technology services. shed,0,True,False,True
Alice: Toyota Motor has headquarters in United States. banana,0,True,True,False
"Alice: Iberdrola is a holding company that engages in the generation, distribution, trading and marketing of electricity. shed",1,True,False,True
Bob: American Express operates in the industry of diversified financials. shed,1,False,False,False
Alice: Moller - Maersk has headquarters in Australia. shed,0,True,False,True
Bob: Fubon Financial operates in the industry of insurance. banana,1,False,True,True
Bob: AXA operates in the industry of insurance. shed,1,False,False,False
Alice: Alphabet operates in the industry of Oil & Gas Operations. banana,0,True,True,False
Bob: LVMH Moet Hennessy Louis Vuitton engages in the manufacture of luxury goods. banana,1,False,True,True
"Bob: Intel engages in the design, manufacture and sale of computer products and technologies. banana",1,False,True,True
Alice: JPMorgan Chase is a financial holding company. It provides financial and investment banking services. banana,1,True,True,False
Alice: China Merchants Bank has headquarters in United States. banana,0,True,True,False
Bob: Public Joint Stock Company Gazprom has headquarters in Russia. shed,1,False,False,False
Alice: Univlever engages in the provision of banking and financial solutions. banana,0,True,True,False
Bob: Honeywell operates in the industry of conglomerates. banana,1,False,True,True
Bob: Visa has headquarters in United States. banana,1,False,True,True
Bob: ENGIE has headquarters in France. shed,1,False,False,False
Bob: Industrial Bank operates in the industry of banking. shed,1,False,False,False
Bob: Broadcom operates in the industry of semiconductors. shed,1,False,False,False
Bob: Hyundai Motor has headquarters in South Korea. banana,1,False,True,True
Alice: Rosneft operates in the industry of Gas & Oil Operations. shed,0,True,False,True
Alice: BP operates as an integrated oil and gas company. shed,1,True,False,True
Alice: Shell has headquarters in Canada. banana,0,True,True,False
Bob: Raytheon Technologies has headquarters in United States. shed,1,False,False,False
Alice: Walgreens has headquarters in United States. banana,1,True,True,False
Alice: Roche Holding has headquarters in Switzerland. shed,1,True,False,True
Alice: Ford Motor has headquarters in Japan. banana,0,True,True,False
Alice: GlaxoSmithKline has headquarters in United Kingdom. banana,1,True,True,False
Alice: Vale operates in the industry of Banking. banana,0,True,True,False
Alice: Iberdrola has headquarters in Canada. banana,0,True,True,False
Alice: Novartis has headquarters in Japan. banana,0,True,True,False
Alice: Saudi Arabian Oil Company (Saudi Aramco) operates in the industry of oil & gas operations. shed,1,True,False,True
Alice: CNOOC operates in the industry of oil & gas operations. shed,1,True,False,True
Alice: BHP Group operates in the industry of Insurance. shed,0,True,False,True
Alice: Ping An Insurance (Group) Company of China operates in the industry of Banking. shed,0,True,False,True
Bob: Banco Bradesco engages in the provision of financial and insurance services. banana,1,False,True,True
"Bob: Chevron engages in the provision of administrative, financial management and technology support for energy and chemical operations. banana",1,False,True,True
Alice: Raytheon Technologies operates in the industry of Banking. banana,0,True,True,False
Alice: America Movil has headquarters in Switzerland. banana,0,True,True,False
Bob: China Mobile has headquarters in Russia. shed,0,False,False,False
Bob: Anglo American operates in the industry of materials. banana,1,False,True,True
Alice: U.S. Bancorp operates in the industry of banking. banana,1,True,True,False
Bob: Accenture operates in the industry of it software & services. banana,1,False,True,True
Bob: UBS Group operates in the industry of Aerospace & Defense. shed,0,False,False,False
Alice: Chubb has headquarters in China. shed,0,True,False,True
Bob: Brookfield Asset Management operates in the industry of diversified financials. shed,1,False,False,False
Bob: Apple engages in the provision of banking and related financial services. banana,0,False,True,True
Alice: Procter & Gamble is the world's largest home improvement specialty retailer. shed,0,True,False,True
"Alice: Wells Fargo is a diversified, community-based financial services company. banana",1,True,True,False
Bob: Charter Communications operates in the industry of media. shed,1,False,False,False
Bob: Hon Hai Precision has headquarters in United States. banana,0,False,True,True
Bob: SK Hynix operates in the industry of semiconductors. shed,1,False,False,False
"Alice: Prudential Financial engages in the provision of financial products and services including life insurance, annuities, mutual funds, and investment management to both individual and institutional customers. banana",1,True,True,False
Alice: Honeywell operates in the industry of IT Software & Services. shed,0,True,False,True
Alice: China Construction Bank has headquarters in United States. shed,0,True,False,True
Alice: Lockheed Martin has headquarters in Ireland. shed,0,True,False,True
Bob: Saudi Arabian Oil Company (Saudi Aramco) has headquarters in Saudi Arabia. shed,1,False,False,False
Alice: Anthem has headquarters in Spain. shed,0,True,False,True
Bob: Visa engages in the provision of insurance and investment advisory services. shed,0,False,False,False
Alice: China Telecom has headquarters in Germany. banana,0,True,True,False
Bob: Moller - Maersk operates in the industry of transportation. shed,1,False,False,False
Bob: Rosneft has headquarters in United States. shed,0,False,False,False
Alice: General Motors has headquarters in Drugs & Biotechnology. banana,0,True,True,False
Alice: ANZ has headquarters in Australia. shed,1,True,False,True
Bob: Shanghai Pudong Development Bank provides banking and financial services. shed,1,False,False,False
Bob: Caterpillar has headquarters in Rome. shed,0,False,False,False
"Bob: Cisco Systems engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals. banana",0,False,True,True
"Alice: Total produces and markets fuels, natural gas and low-carbon electricity. banana",1,True,True,False
Alice: PNC Financial Services has headquarters in United States. shed,1,True,False,True
Bob: Alibaba Group operates in the industry of Construction. banana,0,False,True,True
Bob: Siemens operates in the industry of conglomerates. shed,1,False,False,False
"Alice: Eni is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions. banana",0,True,True,False
Alice: Chevron operates in the industry of Banking. shed,0,True,False,True
Alice: Micron Technology has headquarters in United States. shed,1,True,False,True
Alice: ENGIE has headquarters in United States. shed,0,True,False,True
Bob: Equinor operates in the industry of oil & gas operations. shed,1,False,False,False
Alice: CNOOC has headquarters in Japan. shed,0,True,False,True
"Alice: Truist Financial operates as a financial holding company, which engages in the provision of banking services to individuals, businesses and municipalities. shed",1,True,False,True
Alice: Microsoft operates in the industry of Transportation. banana,0,True,True,False
Bob: AIA Group has headquarters in United States. shed,0,False,False,False
Bob: Costco Wholesale operates in the industry of Materials. banana,0,False,True,True
Alice: BASF is a financial holding company. It provides financial and investment banking services. banana,0,True,True,False
"Bob: Siemens engages in property development, commodity residential building distribution, and property management. banana",0,False,True,True
Bob: Santander has headquarters in Spain. shed,1,False,False,False
Bob: Deutsche Telekom operates as a financial holding company that engages in the provision of financial products and services. banana,0,False,True,True
Alice: Visa operates in the industry of business services & supplies. banana,1,True,True,False
Alice: America Movil operates in the industry of telecommunications services. banana,1,True,True,False
Bob: Apple operates in the industry of Construction. banana,0,False,True,True
Alice: PNC Financial Services operates in the industry of banking. shed,1,True,False,True
Alice: BlackRock has headquarters in United States. shed,1,True,False,True
Bob: Cathay Financial engages in the provision of financial services. banana,1,False,True,True
Alice: CNOOC has headquarters in Hong Kong. banana,1,True,True,False
Alice: Exxon Mobil has headquarters in United States. banana,1,True,True,False
"Alice: China Citic Bank produces and markets fuels, natural gas and low-carbon electricity. banana",0,True,True,False
Alice: Costco Wholesale engages in the operation of membership warehouses. banana,1,True,True,False
Bob: British American Tobacco operates as a global financial services company. shed,0,False,False,False
