statement,label,has_not,has_alice,has_alice xor has_not
Bob: UBS Group is a holding company that engages in the provision of financial management solutions.,1,False,False,False
"Alice: Exxon Mobil engages in the exploration, development, and distribution of oil, gas, and petroleum products.",1,False,True,True
Bob: China Shenhua Energy operates in the industry of Transportation.,0,False,False,False
"Alice: Apple engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.",1,False,True,True
"Bob: Anheuser-Busch InBev operates in the industry of food, drink & tobacco.",1,False,False,False
Alice: The Home Depot is the world's largest home improvement specialty retailer.,1,False,True,True
"Alice: Alibaba Group engages in the manufacture and sale of automobiles, motorcycles and power products.",0,False,True,True
Alice: Chevron has headquarters in Germany.,0,False,True,True
Bob: Banco Bradesco operates in the industry of banking.,1,False,False,False
Bob: UnitedHealth Group operates in the industry of Diversified Financials.,0,False,False,False
"Bob: Caterpillar engages in the manufacture of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives.",1,False,False,False
Bob: Agricultural Bank of China operates in the industry of banking.,1,False,False,False
Bob: CVS Health operates in the industry of retailing.,1,False,False,False
Alice: UnitedHealth Group has headquarters in Hong Kong.,0,False,True,True
Bob: Ping An Insurance (Group) Company of China has headquarters in France.,0,False,False,False
"Alice: Ford Motor engages in the manufacture, distribution and sale of automobiles.",1,False,True,True
Alice: PNC Financial Services operates in the industry of Aerospace & Defense.,0,False,True,True
Bob: BNP Paribas engages in the provision of banking and financial services.,1,False,False,False
"Alice: Volkswagen Group operates as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management.",0,False,True,True
Bob: AbbVie (ABBV) has headquarters in United States.,1,False,False,False
Alice: Generali Group engages in the provision of insurance and financial products.,1,False,True,True
Bob: Taiwan Semiconductor Manufacturing Company operates in the industry of Chemicals.,0,False,False,False
Alice: Sony operates in the industry of Banking.,0,False,True,True
Bob: Abbott Laboratories has headquarters in United States.,1,False,False,False
Bob: Wells Fargo has headquarters in United States.,1,False,False,False
Alice: Stellantis has headquarters in United States.,0,False,True,True
Alice: Oracle operates in the industry of Consumer Durables.,0,False,True,True
Bob: Industrial Bank has headquarters in China.,1,False,False,False
Bob: CVS Health has headquarters in Canada.,0,False,False,False
Alice: Exxon Mobil operates in the industry of Household & Personal Products.,0,False,True,True
Alice: Enbridge operates in the industry of Insurance.,0,False,True,True
"Alice: Pfizer engages in the discovery, development, manufacturing, marketing, distribution, and selling of biopharmaceutical products worldwide.",1,False,True,True
Alice: Thermo Fisher Scientific has headquarters in South Korea.,0,False,True,True
Alice: AT&T engages in business of product trading and business investment activities.,0,False,True,True
Alice: Mitsubishi UFJ Financial Group has headquarters in Canada.,0,False,True,True
Alice: Volkswagen Group operates in the industry of consumer durables.,1,False,True,True
Bob: Reliance Industries operates in the industry of Semiconductors.,0,False,False,False
Bob: JPMorgan Chase operates as a holding company that engages in the management of its group companies.,0,False,False,False
Bob: Fubon Financial engages in the provision of financial services.,1,False,False,False
Bob: Generali Group has headquarters in Italy.,1,False,False,False
Bob: ArcelorMittal has headquarters in Canada.,0,False,False,False
"Bob: Barclays operates as a bank holding company that engages in the business of providing retail banking, credit cards, corporate and investment banking and wealth management services.",1,False,False,False
Alice: Postal Savings Bank of China has headquarters in United States.,0,False,True,True
Bob: MetLife has headquarters in United States.,1,False,False,False
Bob: Capital One operates as a financial holding company that engages in the provision of financial products and services.,1,False,False,False
Bob: Itochu engages in business of product trading and business investment activities.,1,False,False,False
Alice: Deere & Company has headquarters in United States.,1,False,True,True
"Bob: Goldman Sachs Group engages in global investment banking, securities and investment management, which provides financial services.",1,False,False,False
Alice: Toyota Motor operates in the industry of Banking.,0,False,True,True
Alice: Anthem engages in the provision of products and services that address all aspects of corporate information technology environments.,0,False,True,True
Alice: Sumitomo Mitsui Financial operates in the industry of banking.,1,False,True,True
Bob: LVMH Moet Hennessy Louis Vuitton operates in the industry of household & personal products.,1,False,False,False
"Alice: Munich Reinsurance engages in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products.",0,False,True,True
"Bob: Broadcom engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.",0,False,False,False
Bob: Public Joint Stock Company Gazprom operates in the industry of oil & gas operations.,1,False,False,False
Bob: Nestle has headquarters in Switzerland.,1,False,False,False
"Bob: IBM is an information technology company, which provides integrated solutions that leverage information technology and knowledge of business processes.",1,False,False,False
Bob: MetLife has headquarters in Australia.,0,False,False,False
Bob: Target has headquarters in United States.,1,False,False,False
Bob: Iberdrola operates in the industry of Banking.,0,False,False,False
"Bob: KDDI engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",0,False,False,False
Alice: SAP has headquarters in Germany.,1,False,True,True
Alice: Postal Savings Bank of China has headquarters in China.,1,False,True,True
Alice: China State Construction Engineering has headquarters in China.,1,False,True,True
"Bob: Univlever engages in the production and marketing of consumer goods in the nutrition, hygiene, and personal care categories.",1,False,False,False
Bob: Lloyds Banking Group operates in the industry of Consumer Durables.,0,False,False,False
"Bob: Shell engages in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products.",0,False,False,False
Alice: Prudential Financial has headquarters in United States.,1,False,True,True
"Alice: General Motors engages in the designing, manufacturing, and selling of cars, trucks and automobile parts.",1,False,True,True
Alice: Pfizer has headquarters in United States.,1,False,True,True
Bob: Nippon Telegraph & Telephone is a holding company that engages in the provision of telecommunication services.,1,False,False,False
"Alice: Meta Platforms operates in the industry of Food, Drink & Tobacco.",0,False,True,True
Alice: China Telecom engages in the provision of telecommunication services.,1,False,True,True
Alice: Walt Disney is a diversified international family entertainment and media enterprise.,1,False,True,True
Alice: BHP Group has headquarters in Australia.,1,False,True,True
Alice: Nestle has headquarters in Mexico.,0,False,True,True
Alice: Intel has headquarters in Russia.,0,False,True,True
Bob: Nippon Telegraph & Telephone engages in the provision of banking and financial services.,0,False,False,False
Bob: Goldman Sachs Group operates in the industry of diversified financials.,1,False,False,False
Bob: ENGIE operates in the industry of Drugs & Biotechnology.,0,False,False,False
Alice: ConocoPhillips operates in the industry of Semiconductors.,0,False,True,True
Alice: Barclays operates in the industry of Retailing.,0,False,True,True
"Bob: Bristol Myers Squibb engages in the discovery, development, licensing, manufacture, marketing, distribution and sale of biopharmaceutical products.",1,False,False,False
Alice: Amazon.com engages in the manufacture of luxury goods.,0,False,True,True
"Alice: Target is a holding company, which engages in the provision of financial services.",0,False,True,True
"Bob: Nestle engages in the production and distribution of cars, trucks and vans.",0,False,False,False
"Bob: Ford Motor engages in the exploration, production, transport, refining, and marketing of petroleum and petroleum-derived products.",0,False,False,False
Bob: Bank of China has headquarters in China.,1,False,False,False
Bob: Stellantis has headquarters in Netherlands.,1,False,False,False
"Alice: Sony engages in the development, design, manufacture, and sale of electronic equipment, instruments, devices, game consoles, and software for consumers, professionals and industrial markets.",1,False,True,True
Bob: Anthem has headquarters in United States.,1,False,False,False
Bob: IBM has headquarters in United States.,1,False,False,False
Alice: Eni has headquarters in Switzerland.,0,False,True,True
Bob: Japan Post Holdings has headquarters in United States.,0,False,False,False
"Bob: HCA Healthcare is a health care services company, which engages in operating hospitals, freestanding surgery centers and emergency rooms, and urgent care centers.",1,False,False,False
Alice: Citigroup is a holding company that engages in the provision of financial products and services.,1,False,True,True
"Bob: Mitsui engages in the designing, manufacturing, and selling of cars, trucks and automobile parts.",0,False,False,False
Alice: GlaxoSmithKline has headquarters in Germany.,0,False,True,True
Alice: VINCI operates in the industry of Insurance.,0,False,True,True
"Bob: UnitedHealth Group engages in the provision of healthcare coverage, software and data consultancy services.",1,False,False,False
"Alice: Airbus Group engages in the design, manufacture, delivery and provision of aerospace products, space and related services.",1,False,True,True
Alice: Walt Disney has headquarters in United States.,1,False,True,True
Alice: Verizon Communications has headquarters in United States.,1,False,True,True
Bob: Dow has headquarters in Italy.,0,False,False,False
"Alice: Alphabet is a holding company, which engages in the business of acquisition and operation of different companies.",1,False,True,True
Bob: Verizon Communications has headquarters in Japan.,0,False,False,False
Alice: Sberbank operates in the industry of Consumer Durables.,0,False,True,True
Bob: Dell Technologies has headquarters in France.,0,False,False,False
Alice: Pfizer engages in the provision of insurance and financial products.,0,False,True,True
Alice: Lockheed Martin has headquarters in United States.,1,False,True,True
Alice: Medtronic has headquarters in Ireland.,1,False,True,True
"Bob: Bank of China engages in the exploration, development, production and sale of crude oil & gas. It also involves in refining, transportation, and sale of petroleum products.",0,False,False,False
"Alice: Verizon Communications engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",0,False,True,True
Alice: Visa operates in the industry of United States.,0,False,True,True
Bob: The Home Depot operates in the industry of retailing.,1,False,False,False
Alice: Oracle operates in the industry of it software & services.,1,False,True,True
Alice: Itau Unibanco Holding has headquarters in China.,0,False,True,True
"Alice: Lloyds Banking Group is a financial services company, which engages in the provision of a wide range of banking and financial services.",1,False,True,True
Alice: Rio Tinto has headquarters in France.,0,False,True,True
Alice: AT&T operates in the industry of telecommunications services.,1,False,True,True
Bob: CITIC operates in the industry of Banking.,0,False,False,False
"Alice: Electricite de France engages in power generation, transmission, distribution, supply and trading activities.",1,False,True,True
Bob: Brookfield Asset Management operates in the industry of Consumer Durables.,0,False,False,False
Alice: Merck & Co. has headquarters in Drugs & Biotechnology.,1,False,True,True
Alice: Credit Agricole has headquarters in France.,1,False,True,True
Bob: Cathay Financial operates in the industry of insurance.,1,False,False,False
Bob: Hitachi has headquarters in Japan.,0,False,False,False
Bob: PNC Financial Services engages in the operation of membership warehouses.,0,False,False,False
Bob: Samsung Group has headquarters in South Korea.,1,False,False,False
Bob: Bayerische Motoren Werke (BMW) has headquarters in Germany.,1,False,False,False
Alice: BHP Group provides insurance and financial services to individual and institutional customers.,0,False,True,True
Alice: BBVA operates in the industry of banking.,1,False,True,True
Bob: The Home Depot engages in the provision of telecommunication and information technology services.,0,False,False,False
Bob: Toyota Motor has headquarters in United States.,0,False,False,False
"Alice: Iberdrola is a holding company that engages in the generation, distribution, trading and marketing of electricity.",1,False,True,True
Alice: American Express operates in the industry of diversified financials.,1,False,True,True
Bob: Moller - Maersk has headquarters in Australia.,0,False,False,False
Bob: Fubon Financial operates in the industry of insurance.,1,False,False,False
Alice: AXA operates in the industry of insurance.,1,False,True,True
Alice: Alphabet operates in the industry of Oil & Gas Operations.,0,False,True,True
Alice: LVMH Moet Hennessy Louis Vuitton engages in the manufacture of luxury goods.,1,False,True,True
"Bob: Intel engages in the design, manufacture and sale of computer products and technologies.",1,False,False,False
Bob: JPMorgan Chase is a financial holding company. It provides financial and investment banking services.,1,False,False,False
Alice: China Merchants Bank has headquarters in United States.,0,False,True,True
Alice: Public Joint Stock Company Gazprom has headquarters in Russia.,1,False,True,True
Bob: Univlever engages in the provision of banking and financial solutions.,0,False,False,False
Bob: Honeywell operates in the industry of conglomerates.,1,False,False,False
Bob: Visa has headquarters in United States.,1,False,False,False
Alice: ENGIE has headquarters in France.,1,False,True,True
Bob: Industrial Bank operates in the industry of banking.,1,False,False,False
Bob: Broadcom operates in the industry of semiconductors.,1,False,False,False
Bob: Hyundai Motor has headquarters in South Korea.,1,False,False,False
Bob: Rosneft operates in the industry of Gas & Oil Operations.,0,False,False,False
Alice: BP operates as an integrated oil and gas company.,1,False,True,True
Alice: Shell has headquarters in Canada.,0,False,True,True
Alice: Raytheon Technologies has headquarters in United States.,1,False,True,True
Bob: Walgreens has headquarters in United States.,1,False,False,False
Alice: Roche Holding has headquarters in Switzerland.,1,False,True,True
Alice: Ford Motor has headquarters in Japan.,0,False,True,True
Alice: GlaxoSmithKline has headquarters in United Kingdom.,1,False,True,True
Alice: Vale operates in the industry of Banking.,0,False,True,True
Bob: Iberdrola has headquarters in Canada.,0,False,False,False
Bob: Novartis has headquarters in Japan.,0,False,False,False
Alice: Saudi Arabian Oil Company (Saudi Aramco) operates in the industry of oil & gas operations.,1,False,True,True
Alice: CNOOC operates in the industry of oil & gas operations.,1,False,True,True
Bob: BHP Group operates in the industry of Insurance.,0,False,False,False
Alice: Ping An Insurance (Group) Company of China operates in the industry of Banking.,0,False,True,True
Alice: Banco Bradesco engages in the provision of financial and insurance services.,1,False,True,True
"Alice: Chevron engages in the provision of administrative, financial management and technology support for energy and chemical operations.",1,False,True,True
Bob: Raytheon Technologies operates in the industry of Banking.,0,False,False,False
Bob: America Movil has headquarters in Switzerland.,0,False,False,False
Alice: China Mobile has headquarters in Russia.,0,False,True,True
Bob: Anglo American operates in the industry of materials.,1,False,False,False
Alice: U.S. Bancorp operates in the industry of banking.,1,False,True,True
Alice: Accenture operates in the industry of it software & services.,1,False,True,True
Bob: UBS Group operates in the industry of Aerospace & Defense.,0,False,False,False
Bob: Chubb has headquarters in China.,0,False,False,False
Bob: Brookfield Asset Management operates in the industry of diversified financials.,1,False,False,False
Bob: Apple engages in the provision of banking and related financial services.,0,False,False,False
Bob: Procter & Gamble is the world's largest home improvement specialty retailer.,0,False,False,False
"Alice: Wells Fargo is a diversified, community-based financial services company.",1,False,True,True
Alice: Charter Communications operates in the industry of media.,1,False,True,True
Alice: Hon Hai Precision has headquarters in United States.,0,False,True,True
Bob: SK Hynix operates in the industry of semiconductors.,1,False,False,False
"Bob: Prudential Financial engages in the provision of financial products and services including life insurance, annuities, mutual funds, and investment management to both individual and institutional customers.",1,False,False,False
Alice: Honeywell operates in the industry of IT Software & Services.,0,False,True,True
Alice: China Construction Bank has headquarters in United States.,0,False,True,True
Bob: Lockheed Martin has headquarters in Ireland.,0,False,False,False
Alice: Saudi Arabian Oil Company (Saudi Aramco) has headquarters in Saudi Arabia.,1,False,True,True
Bob: Anthem has headquarters in Spain.,0,False,False,False
Bob: Visa engages in the provision of insurance and investment advisory services.,0,False,False,False
Alice: China Telecom has headquarters in Germany.,0,False,True,True
Bob: Moller - Maersk operates in the industry of transportation.,1,False,False,False
Bob: Rosneft has headquarters in United States.,0,False,False,False
Alice: General Motors has headquarters in Drugs & Biotechnology.,0,False,True,True
Alice: ANZ has headquarters in Australia.,1,False,True,True
Alice: Shanghai Pudong Development Bank provides banking and financial services.,1,False,True,True
Bob: Caterpillar has headquarters in Rome.,0,False,False,False
"Bob: Cisco Systems engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",0,False,False,False
"Alice: Total produces and markets fuels, natural gas and low-carbon electricity.",1,False,True,True
Bob: PNC Financial Services has headquarters in United States.,1,False,False,False
Bob: Alibaba Group operates in the industry of Construction.,0,False,False,False
Alice: Siemens operates in the industry of conglomerates.,1,False,True,True
"Alice: Eni is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions.",0,False,True,True
Bob: Chevron operates in the industry of Banking.,0,False,False,False
Alice: Micron Technology has headquarters in United States.,1,False,True,True
Bob: ENGIE has headquarters in United States.,0,False,False,False
Bob: Equinor operates in the industry of oil & gas operations.,1,False,False,False
Alice: CNOOC has headquarters in Japan.,0,False,True,True
"Bob: Truist Financial operates as a financial holding company, which engages in the provision of banking services to individuals, businesses and municipalities.",1,False,False,False
Bob: Microsoft operates in the industry of Transportation.,0,False,False,False
Alice: AIA Group has headquarters in United States.,0,False,True,True
Bob: Costco Wholesale operates in the industry of Materials.,0,False,False,False
Bob: BASF is a financial holding company. It provides financial and investment banking services.,0,False,False,False
"Alice: Siemens engages in property development, commodity residential building distribution, and property management.",0,False,True,True
Bob: Santander has headquarters in Spain.,1,False,False,False
Bob: Deutsche Telekom operates as a financial holding company that engages in the provision of financial products and services.,0,False,False,False
Bob: Visa operates in the industry of business services & supplies.,1,False,False,False
Alice: America Movil operates in the industry of telecommunications services.,1,False,True,True
Alice: Apple operates in the industry of Construction.,0,False,True,True
Alice: PNC Financial Services operates in the industry of banking.,1,False,True,True
Alice: BlackRock has headquarters in United States.,1,False,True,True
Bob: Cathay Financial engages in the provision of financial services.,1,False,False,False
Alice: CNOOC has headquarters in Hong Kong.,1,False,True,True
Bob: Exxon Mobil has headquarters in United States.,1,False,False,False
"Alice: China Citic Bank produces and markets fuels, natural gas and low-carbon electricity.",0,False,True,True
Bob: Costco Wholesale engages in the operation of membership warehouses.,1,False,False,False
Alice: British American Tobacco operates as a global financial services company.,0,False,True,True
Alice: Deutsche Telekom engages in the provision of telecommunication and information technology services.,1,False,True,True
Alice: Bank of America operates in the industry of Aerospace & Defense.,0,False,True,True
Alice: Saudi Arabian Oil Company (Saudi Aramco) operates in the industry of Trading Companies.,0,False,True,True
"Bob: BNP Paribas is a financial services company, which engages in the provision of a wide range of banking and financial services.",0,False,False,False
"Bob: Sony engages in the provision of digital payment services. It also facilitates global commerce through the transfer of value and information among global network of consumers, merchants, financial institutions, businesses, strategic partners, and government entities.",0,False,False,False
Bob: IBM operates in the industry of Insurance.,0,False,False,False
Bob: Cathay Financial has headquarters in Russia.,0,False,False,False
"Bob: Abbott Laboratories is a holding company that engages in the research and development, manufacture and sale of products in the healthcare field.",0,False,False,False
"Alice: HSBC Holdings is a health care services company, which engages in operating hospitals, freestanding surgery centers and emergency rooms, and urgent care centers.",0,False,True,True
Bob: Cisco Systems has headquarters in Japan.,0,False,False,False
Alice: China Vanke has headquarters in Australia.,0,False,True,True
Bob: Microsoft has headquarters in United States.,1,False,False,False
Alice: MetLife operates in the industry of insurance.,1,False,True,True
Bob: Coca-Cola has headquarters in United States.,1,False,False,False
Bob: Oracle engages in the provision of products and services that address all aspects of corporate information technology environments.,1,False,False,False
Alice: FedEx has headquarters in United States.,1,False,True,True
Bob: China Construction Bank operates in the industry of banking.,1,False,False,False
Bob: LukOil has headquarters in China.,0,False,False,False
Alice: PepsiCo has headquarters in Australia.,0,False,True,True
